600,TOCA Touring Car Championship,1997,,3,35
601,Kirby: Nightmare in Dream Land,2002,E,2,1
602,Wario Land 4,2001,E,2,1
603,Sonic's Ultimate Genesis Collection,2009,E10+,6,9
604,Far Cry: Primal,2016,M,9,6
605,Onimusha 2: Samurai's Destiny,2002,M,11,13
606,Cool Boarders 2,1997,,1,45
607,Paper Mario: The Thousand-Year Door,2004,E,4,1
608,God of War: Ascension,2013,M,9,4
609,Sonic Advance,2001,E,2,9
610,Super Monkey Ball: Banana Blitz,2006,E,6,9
611,Just Dance Kids,2010,E,6,6
612,New Super Luigi U,2013,E,2,1
